pedido_id,dia,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes
17-0000088,17,SPIM,OJAI,"SBBR-VIDP@D17 | LATI-EDDI@D17 | EHAM-VIDP@D17 | LOWW-OAKB@D17 | EDDI-OOMS@D17",62,0
17-0000089,17,UBBB,UMMS,"SKBO-LBSF@D17 | SPIM-OMDB@D17 | SUAA-VIDP@D17 | SGAS-OERK@D17 | SLLP-UMMS@D17",28,140
17-0000089,17,UBBB,UMMS,"OMDB-SKBO@D17 | SBBR-EKCH@D17 | OAKB-LKPR@D17 | SPIM-LOWW@D17 | SEQM-SABE@D17",107,33
17-0000089,17,UBBB,UMMS,"SVMI-LKPR@D17 | SABE-SGAS@D17 | SLLP-UMMS@D17 | OERK-SGAS@D17 | LOWW-OMDB@D17",28,5
17-0000089,17,UBBB,UMMS,"LOWW-LKPR@D17 | SVMI-LATI@D17 | LKPR-OMDB@D17 | SVMI-SPIM@D17 | OAKB-EBCI@D17",5,0
17-0000090,17,SPIM,SVMI,"SPIM-LKPR@D17 | LOWW-SUAA@D17 | OYSN-OSDI@D17 | SVMI-OMDB@D17 | SBBR-EHAM@D17",169,0
18-0000091,18,SPIM,SKBO,"OSDI-OPKC@D18 | SKBO-UMMS@D18 | SLLP-LATI@D18 | LATI-OSDI@D18 | OSDI-SCEL@D18",169,0
18-0000092,18,SPIM,SEQM,"UMMS-OJAI@D18 | SUAA-OSDI@D18 | SEQM-SABE@D18 | SABE-OAKB@D18 | OSDI-SPIM@D18",170,0
18-0000093,18,EBCI,SBBR,"LATI-SLLP@D18 | LDZA-OPKC@D18 | SEQM-LBSF@D18 | SCEL-LDZA@D18 | OYSN-OMDB@D18",170,0
18-0000094,18,SPIM,SLLP,"SEQM-EBCI@D18 | SVMI-LATI@D18 | SUAA-OYSN@D18 | EDDI-OERK@D18 | OERK-OYSN@D18",171,0
18-0000095,18,UBBB,SCEL,"SVMI-OOMS@D18 | UBBB-SKBO@D18 | OSDI-SKBO@D18 | OOMS-EHAM@D18 | SEQM-OOMS@D18",33,138
18-0000095,18,UBBB,SCEL,"SPIM-OYSN@D18 | SVMI-SEQM@D18 | LDZA-SUAA@D18 | SUAA-EKCH@D18 | OERK-LDZA@D18",138,0
19-0000096,19,SPIM,SABE,"VIDP-SABE@D19 | EKCH-OPKC@D19 | SEQM-SLLP@D19 | OAKB-SGAS@D19 | LBSF-SUAA@D19",172,0
19-0000097,19,UBBB,SGAS,"SGAS-SCEL@D19 | SGAS-LATI@D19 | SLLP-EHAM@D19 | OJAI-LDZA@D19 | UMMS-OMDB@D19",172,0
19-0000098,19,UBBB,SUAA,"OYSN-OERK@D19 | SEQM-LATI@D19 | SEQM-SLLP@D19 | SLLP-OPKC@D19 | OMDB-LOWW@D19",56,117
19-0000098,19,UBBB,SUAA,"OSDI-SGAS@D19 | EDDI-OMDB@D19 | VIDP-SBBR@D19 | OPKC-SKBO@D19 | OYSN-UMMS@D19",117,0
19-0000099,19,UBBB,LATI,"OYSN-SCEL@D19 | LATI-SKBO@D19 | OYSN-OERK@D19 | OAKB-SLLP@D19 | SABE-VIDP@D19",50,123
19-0000099,19,UBBB,LATI,"EDDI-SBBR@D19 | UMMS-SABE@D19 | SUAA-SKBO@D19 | OSDI-SCEL@D19 | LBSF-LATI@D19",123,0
19-0000100,19,EBCI,EDDI,"VIDP-SABE@D19 | SABE-LDZA@D19 | LOWW-OAKB@D19 | UBBB-LDZA@D19 | SPIM-OJAI@D19",174,0
20-0000101,20,EBCI,LOWW,"SUAA-SGAS@D20 | LDZA-LOWW@D20 | LBSF-VIDP@D20 | LOWW-SUAA@D20 | EDDI-SPIM@D20",174,0
20-0000102,20,UBBB,LKPR,"OJAI-SLLP@D20 | OJAI-SBBR@D20 | SCEL-OERK@D20 | OSDI-LATI@D20 | EHAM-SABE@D20",130,45
20-0000102,20,UBBB,LKPR,"EHAM-SABE@D20 | LBSF-OSDI@D20 | OJAI-SKBO@D20 | SLLP-SVMI@D20 | OYSN-OPKC@D20",45,0
20-0000103,20,SPIM,LDZA,"SKBO-LBSF@D20 | OYSN-LKPR@D20 | VIDP-OAKB@D20 | SCEL-OYSN@D20 | LOWW-OOMS@D20",175,0
20-0000104,20,EBCI,EKCH,"OERK-SBBR@D20 | VIDP-SVMI@D20 | UBBB-SLLP@D20 | LBSF-SPIM@D20 | SLLP-LATI@D20",176,0
20-0000105,20,EBCI,EHAM,"OPKC-SLLP@D20 | UMMS-SVMI@D20 | SBBR-UBBB@D20 | EHAM-SCEL@D20 | UBBB-OYSN@D20",140,36
20-0000105,20,EBCI,EHAM,"OMDB-SBBR@D20 | SGAS-SUAA@D20 | SLLP-LATI@D20 | SVMI-LOWW@D20 | EDDI-OERK@D20",36,0
21-0000106,21,SPIM,VIDP,"OERK-OJAI@D21 | UMMS-LDZA@D21 | LKPR-SABE@D21 | OPKC-LBSF@D21 | UMMS-SCEL@D21",177,0
21-0000107,21,SPIM,OSDI,"SPIM-LOWW@D21 | OAKB-UMMS@D21 | OPKC-LOWW@D21 | UMMS-SCEL@D21 | SCEL-LATI@D21",56,121
21-0000107,21,SPIM,OSDI,"EKCH-SLLP@D21 | EDDI-SVMI@D21 | OERK-EHAM@D21 | OERK-SGAS@D21 | OJAI-UBBB@D21",121,0
21-0000108,21,UBBB,OERK,"SEQM-LBSF@D21 | VIDP-UMMS@D21 | OYSN-SVMI@D21 | EKCH-LOWW@D21 | EHAM-EDDI@D21",132,46
21-0000108,21,UBBB,OERK,"SGAS-LKPR@D21 | OPKC-UBBB@D21 | SLLP-OYSN@D21 | OJAI-EHAM@D21 | EHAM-SABE@D21",46,0
21-0000109,21,UBBB,OOMS,"SABE-LBSF@D21 | EHAM-SCEL@D21 | SUAA-SLLP@D21 | OAKB-UBBB@D21 | OMDB-OSDI@D21",178,0
21-0000110,21,EBCI,OYSN,"LBSF-OOMS@D21 | LBSF-LKPR@D21 | OOMS-SLLP@D21 | VIDP-EBCI@D21 | SEQM-SKBO@D21",179,0
22-0000111,22,EBCI,OMDB,"SEQM-LATI@D22 | OMDB-SEQM@D22 | OPKC-VIDP@D22 | UBBB-OMDB@D22 | OSDI-SPIM@D22",125,54
